TimePeriod,GeoType,Geography,Number,Percent That Are Obese
2003,Area,Rockaways,"19,000",27.3
2003,Area,Upper East Side-Gramercy,"24,000",8.4
2003,Area,Chelsea-Village,"17,000",9.9
2003,Area,Union Square-Lower Manhattan,"25,000",13.9
2003,Area,Bayside Little Neck-Fresh Meadows,"18,000",13.4
2003,Area,Northern SI,"27,000",22.9
2003,Area,Southern SI,"28,000",16.2
2003,Area,South Bronx,"77,000",26.2
2003,Borough,Bronx,"193,000",23.3
2003,Borough,Brooklyn,"376,000",23.3
2003,Borough,Manhattan,"180,000",15.3
2003,Borough,Queens,"288,000",18.4
2003,Borough,Staten Island,"55,000",18.9
2003,Citywide,New York City,"1,093,000",20
